year_month,state,unemployment_rate
1996-07,AZ,5.6
1996-08,AZ,5.6
1996-09,AZ,5.6
1996-10,AZ,5.6
1996-11,AZ,5.6
1996-12,AZ,5.5
1997-01,AZ,5.3
1997-02,AZ,5.2
1997-03,AZ,5.0
1997-04,AZ,4.8
1997-05,AZ,4.6
1997-06,AZ,4.5
1997-07,AZ,4.4
1997-08,AZ,4.4
1997-09,AZ,4.3
1997-10,AZ,4.3
1997-11,AZ,4.3
1997-12,AZ,4.3
1998-01,AZ,4.3
1998-02,AZ,4.3
1998-03,AZ,4.3
1998-04,AZ,4.2
1998-05,AZ,4.2
1998-06,AZ,4.2
1998-07,AZ,4.2
1998-08,AZ,4.2
1998-09,AZ,4.2
1998-10,AZ,4.3
1998-11,AZ,4.3
1998-12,AZ,4.3
1999-01,AZ,4.4
1999-02,AZ,4.5
1999-03,AZ,4.6
1999-04,AZ,4.6
1999-05,AZ,4.7
1999-06,AZ,4.7
1999-07,AZ,4.6
1999-08,AZ,4.5
1999-09,AZ,4.4
1999-10,AZ,4.3
1999-11,AZ,4.2
1999-12,AZ,4.1
2000-01,AZ,4.1
2000-02,AZ,4.0
2000-03,AZ,4.0
2000-04,AZ,4.0
2000-05,AZ,4.0
2000-06,AZ,4.0
2000-07,AZ,4.0
2000-08,AZ,4.0
2000-09,AZ,3.9
2000-10,AZ,3.9
2000-11,AZ,3.9
2000-12,AZ,4.0
2001-01,AZ,4.0
2001-02,AZ,4.1
2001-03,AZ,4.2
2001-04,AZ,4.2
2001-05,AZ,4.3
2001-06,AZ,4.4
2001-07,AZ,4.6
2001-08,AZ,4.8
2001-09,AZ,5.1
2001-10,AZ,5.4
2001-11,AZ,5.7
2001-12,AZ,5.9
2002-01,AZ,6.0
2002-02,AZ,6.1
2002-03,AZ,6.2
2002-04,AZ,6.2
2002-05,AZ,6.3
2002-06,AZ,6.3
2002-07,AZ,6.2
2002-08,AZ,6.2
2002-09,AZ,6.2
2002-10,AZ,6.1
2002-11,AZ,6.1
2002-12,AZ,6.0
2003-01,AZ,6.0
2003-02,AZ,5.9
2003-03,AZ,5.9
2003-04,AZ,5.9
2003-05,AZ,5.9
2003-06,AZ,5.9
2003-07,AZ,5.9
2003-08,AZ,5.8
2003-09,AZ,5.7
2003-10,AZ,5.6
2003-11,AZ,5.5
2003-12,AZ,5.4
2004-01,AZ,5.4
2004-02,AZ,5.3
2004-03,AZ,5.3
2004-04,AZ,5.2
2004-05,AZ,5.1
2004-06,AZ,5.0
2004-07,AZ,4.9
2004-08,AZ,4.8
2004-09,AZ,4.7
2004-10,AZ,4.6
2004-11,AZ,4.6
2004-12,AZ,4.6
2005-01,AZ,4.6
2005-02,AZ,4.6
2005-03,AZ,4.6
2005-04,AZ,4.7
2005-05,AZ,4.7
2005-06,AZ,4.7
2005-07,AZ,4.7
2005-08,AZ,4.7
2005-09,AZ,4.7
2005-10,AZ,4.6
2005-11,AZ,4.6
2005-12,AZ,4.5
2006-01,AZ,4.4
2006-02,AZ,4.4
2006-03,AZ,4.3
2006-04,AZ,4.3
2006-05,AZ,4.4
2006-06,AZ,4.4
2006-07,AZ,4.3
2006-08,AZ,4.3
2006-09,AZ,4.2
2006-10,AZ,4.1
2006-11,AZ,4.1
2006-12,AZ,4.0
2007-01,AZ,3.9
2007-02,AZ,3.8
2007-03,AZ,3.7
2007-04,AZ,3.6
2007-05,AZ,3.5
2007-06,AZ,3.5
2007-07,AZ,3.4
2007-08,AZ,3.5
2007-09,AZ,3.6
2007-10,AZ,3.8
2007-11,AZ,4.0
2007-12,AZ,4.1
2008-01,AZ,4.2
2008-02,AZ,4.4
2008-03,AZ,4.5
2008-04,AZ,4.8
2008-05,AZ,5.1
2008-06,AZ,5.5
2008-07,AZ,5.9
2008-08,AZ,6.2
2008-09,AZ,6.6
2008-10,AZ,6.9
2008-11,AZ,7.3
2008-12,AZ,7.8
2009-01,AZ,8.2
2009-02,AZ,8.6
2009-03,AZ,9.0
2009-04,AZ,9.4
2009-05,AZ,9.6
2009-06,AZ,9.8
2009-07,AZ,10.0
2009-08,AZ,10.2
2009-09,AZ,10.3
2009-10,AZ,10.4
2009-11,AZ,10.5
2009-12,AZ,10.6
2010-01,AZ,10.6
2010-02,AZ,10.7
2010-03,AZ,10.6
2010-04,AZ,10.6
2010-05,AZ,10.5
2010-06,AZ,10.4
2010-07,AZ,10.3
2010-08,AZ,10.2
2010-09,AZ,10.2
2010-10,AZ,10.1
2010-11,AZ,10.1
2010-12,AZ,10.0
2011-01,AZ,9.9
2011-02,AZ,9.8
2011-03,AZ,9.7
2011-04,AZ,9.7
2011-05,AZ,9.6
2011-06,AZ,9.6
2011-07,AZ,9.6
2011-08,AZ,9.5
2011-09,AZ,9.4
2011-10,AZ,9.2
2011-11,AZ,9.1
2011-12,AZ,8.9
